Province,CODE,Year,Population
Bangkok Metropolis,TH-10,2553,5701394
Bangkok Metropolis,TH-10,2554,5674843
Bangkok Metropolis,TH-10,2555,5673560
Bangkok Metropolis,TH-10,2556,5686252
Bangkok Metropolis,TH-10,2557,5692284
Bangkok Metropolis,TH-10,2558,5696409
Bangkok Metropolis,TH-10,2559,5686646
Bangkok Metropolis,TH-10,2560,5682415
Bangkok Metropolis,TH-10,2561,5676648
Bangkok Metropolis,TH-10,2562,5666264
Samut Prakan,TH-11,2553,1185180
Samut Prakan,TH-11,2554,1203223
Samut Prakan,TH-11,2555,1223302
Samut Prakan,TH-11,2556,1241610
Samut Prakan,TH-11,2557,1261530
Samut Prakan,TH-11,2558,1279310
Samut Prakan,TH-11,2559,1293553
Samut Prakan,TH-11,2560,1310766
Samut Prakan,TH-11,2561,1326608
Samut Prakan,TH-11,2562,1344875
Pathum Thani,TH-13,2553,985643
Pathum Thani,TH-13,2554,1010898
Pathum Thani,TH-13,2555,1033837
Pathum Thani,TH-13,2556,1053158
Pathum Thani,TH-13,2557,1074058
Pathum Thani,TH-13,2558,1094249
Pathum Thani,TH-13,2559,1111376
Pathum Thani,TH-13,2560,1129115
Pathum Thani,TH-13,2561,1146092
Pathum Thani,TH-13,2562,1163604
Phra Nakhon Si Ayutthaya,TH-14,2553,782096
Phra Nakhon Si Ayutthaya,TH-14,2554,787653
Phra Nakhon Si Ayutthaya,TH-14,2555,793509
Phra Nakhon Si Ayutthaya,TH-14,2556,797970
Phra Nakhon Si Ayutthaya,TH-14,2557,803599
Phra Nakhon Si Ayutthaya,TH-14,2558,808360
Phra Nakhon Si Ayutthaya,TH-14,2559,810320
Phra Nakhon Si Ayutthaya,TH-14,2560,813852
Phra Nakhon Si Ayutthaya,TH-14,2561,817441
Phra Nakhon Si Ayutthaya,TH-14,2562,820188
Ang Thong,TH-15,2553,284970
Ang Thong,TH-15,2554,284061
Ang Thong,TH-15,2555,283882
Ang Thong,TH-15,2556,283732
Ang Thong,TH-15,2557,283568
Ang Thong,TH-15,2558,283173
Ang Thong,TH-15,2559,282404
Ang Thong,TH-15,2560,281187
Ang Thong,TH-15,2561,280840
Ang Thong,TH-15,2562,279654
Lop Buri,TH-16,2553,755854
Lop Buri,TH-16,2554,756127
Lop Buri,TH-16,2555,758059
Lop Buri,TH-16,2556,757970
Lop Buri,TH-16,2557,758406
Lop Buri,TH-16,2558,758655
Lop Buri,TH-16,2559,757321
Lop Buri,TH-16,2560,757273
Lop Buri,TH-16,2561,758733
Lop Buri,TH-16,2562,755556
Sing Buri,TH-17,2553,214661
Sing Buri,TH-17,2554,213587
Sing Buri,TH-17,2555,213216
Sing Buri,TH-17,2556,212690
Sing Buri,TH-17,2557,212158
Sing Buri,TH-17,2558,211426
Sing Buri,TH-17,2559,210588
Sing Buri,TH-17,2560,210088
Sing Buri,TH-17,2561,209377
Sing Buri,TH-17,2562,208446
Chai Nat,TH-18,2553,334934
Chai Nat,TH-18,2554,333256
Chai Nat,TH-18,2555,333172
Chai Nat,TH-18,2556,332769
Chai Nat,TH-18,2557,332283
Chai Nat,TH-18,2558,331655
Chai Nat,TH-18,2559,330431
Chai Nat,TH-18,2560,329722
Chai Nat,TH-18,2561,328263
Chai Nat,TH-18,2562,326611
Saraburi,TH-19,2553,617384
Saraburi,TH-19,2554,620454
Saraburi,TH-19,2555,625689
Saraburi,TH-19,2556,629216
Saraburi,TH-19,2557,633460
Saraburi,TH-19,2558,637673
Saraburi,TH-19,2559,640065
Saraburi,TH-19,2560,642040
Saraburi,TH-19,2561,645024
Saraburi,TH-19,2562,645911
Chon Buri,TH-20,2553,1316293
Chon Buri,TH-20,2554,1338656
Chon Buri,TH-20,2555,1364002
Chon Buri,TH-20,2556,1390354
Chon Buri,TH-20,2557,1421425
Chon Buri,TH-20,2558,1455039
Chon Buri,TH-20,2559,1483049
Chon Buri,TH-20,2560,1509125
Chon Buri,TH-20,2561,1535445
Chon Buri,TH-20,2562,1558301
Rayong,TH-21,2553,626402
Rayong,TH-21,2554,637736
Rayong,TH-21,2555,649275
Rayong,TH-21,2556,661220
Rayong,TH-21,2557,674393
Rayong,TH-21,2558,688999
Rayong,TH-21,2559,700223
Rayong,TH-21,2560,711236
Rayong,TH-21,2561,723316
Rayong,TH-21,2562,734753
Chanthaburi,TH-22,2553,514616
Chanthaburi,TH-22,2554,516855
Chanthaburi,TH-22,2555,521812
Chanthaburi,TH-22,2556,524260
Chanthaburi,TH-22,2557,527350
Chanthaburi,TH-22,2558,531037
Chanthaburi,TH-22,2559,532466
Chanthaburi,TH-22,2560,534459
Chanthaburi,TH-22,2561,536496
Chanthaburi,TH-22,2562,537698
Trat,TH-23,2553,220921
Trat,TH-23,2554,222013
Trat,TH-23,2555,222855
Trat,TH-23,2556,224010
Trat,TH-23,2557,224730
Trat,TH-23,2558,229435
Trat,TH-23,2559,229437
Trat,TH-23,2560,229649
Trat,TH-23,2561,229914
Trat,TH-23,2562,229958
Chachoengsao,TH-24,2553,673933
Chachoengsao,TH-24,2554,679370
Chachoengsao,TH-24,2555,685721
Chachoengsao,TH-24,2556,690226
Chachoengsao,TH-24,2557,695478
Chachoengsao,TH-24,2558,700902
Chachoengsao,TH-24,2559,704399
Chachoengsao,TH-24,2560,709889
Chachoengsao,TH-24,2561,715009
Chachoengsao,TH-24,2562,720113
Prachin Buri,TH-25,2553,466572
Prachin Buri,TH-25,2554,469652
Prachin Buri,TH-25,2555,473770
Prachin Buri,TH-25,2556,476167
Prachin Buri,TH-25,2557,479314
Prachin Buri,TH-25,2558,482195
Prachin Buri,TH-25,2559,484829
Prachin Buri,TH-25,2560,487544
Prachin Buri,TH-25,2561,491640
Prachin Buri,TH-25,2562,494680
Nakhon Nayok,TH-26,2553,252734
Nakhon Nayok,TH-26,2554,253831
Nakhon Nayok,TH-26,2555,255174
Nakhon Nayok,TH-26,2556,256085
Nakhon Nayok,TH-26,2557,257300
Nakhon Nayok,TH-26,2558,258577
Nakhon Nayok,TH-26,2559,258358
Nakhon Nayok,TH-26,2560,259342
Nakhon Nayok,TH-26,2561,260093
Nakhon Nayok,TH-26,2562,260751
Sa Kaeo,TH-27,2553,544100
Sa Kaeo,TH-27,2554,545596
Sa Kaeo,TH-27,2555,548342
Sa Kaeo,TH-27,2556,550937
Sa Kaeo,TH-27,2557,552187
Sa Kaeo,TH-27,2558,556922
